Double Transactions
MALIKA : $36.91; 27/12/2016 03:56:02; $36.91; 27/12/2016 03:56:05
THRESA : $4.15; 27/12/2016 12:07:21; $4.15; 27/12/2016 12:09:00
TERRIE : $42.1; 27/12/2016 16:51:21; $42.1; 27/12/2016 16:53:38
HARMONY : $114.63; 27/12/2016 07:12:25; $114.63; 27/12/2016 07:15:27
CAMILLE : $22.59; 27/12/2016 09:50:51; $22.59; 27/12/2016 09:46:45
GABRIELLA : $1013.26; 27/12/2016 11:40:22; $1013.26; 27/12/2016 11:44:44
JULIANN : $1032.61; 27/12/2016 16:52:37; $1032.61; 27/12/2016 16:57:05
CATHARINE : $898.84; 27/12/2016 21:32:06; $898.84; 27/12/2016 21:33:03
LAKISHA : $24.14; 27/12/2016 14:20:45; $24.14; 27/12/2016 14:16:42
TAMARA : $489.1; 01/01/2017 03:16:17; $489.1; 01/01/2017 03:19:22

Suspicious Transactions
LASHUNDA : $74.2; 27/12/2016 19:42:33
AGUEDA : 1276.23 1262.35 1251.56 1179.81 1088.48 # of transactions = 30; avg = 633.16
AGUSTINA : 1267.02 1253.58 1202.16 1187.81 1169.78 # of transactions = 73; avg = 619.51
AI : 129.29 127.21 126.71 124.73 123.13 # of transactions = 100; avg = 67.34
AIDA : 848.29 841.61 829.67 826.95 807.22 # of transactions = 100; avg = 394.54
AIDE : 825.56 819.41 813.73 812.27 811.73 # of transactions = 75; avg = 445.32
AIKO : 82.17 81.93 80.05 79.56 79.39 # of transactions = 100; avg = 40.84
AILEEN : 1394.82 1366.08 1350.74 1345.50 1312.43 # of transactions = 100; avg = 710.32
AILENE : 2065.72 2061.52 2042.84 1957.97 1849.28 # of transactions = 54; avg = 902.59
AIMEE : 558.40 551.26 527.38 520.53 499.55 # of transactions = 23; avg = 332.01
AISHA : 6385.92 6378.06 6353.13 6314.08 6183.84 # of transactions = 76; avg = 3238.12
AJA : 1061.71 1059.20 1056.23 926.80 864.99 # of transactions = 26; avg = 599.62
AKIKO : 136.51 136.10 135.62 133.36 130.25 # of transactions = 100; avg = 62.49
AKILAH : 111.74 111.73 109.07 108.97 103.72 # of transactions = 86; avg = 56.08
ALAINA : 918.94 903.83 900.39 887.64 878.81 # of transactions = 73; avg = 480.03
ALAINE : 830.17 828.34 820.17 815.36 798.37 # of transactions = 100; avg = 397.34
ALANA : 90.62 90.58 90.58 86.35 85.80 # of transactions = 86; avg = 43.68
ALANE : 60.26 59.73 57.59 56.20 55.95 # of transactions = 54; avg = 32.03
ALANNA : 1011.97 995.44 985.35 964.92 963.66 # of transactions = 57; avg = 548.43
ALAYNA : 54.90 54.88 54.80 54.72 53.90 # of transactions = 100; avg = 28.62
ALBA : 6327.32 6322.77 6168.24 6163.74 6147.29 # of transactions = 78; avg = 3313.14
ALBERT : 801.40 779.40 758.46 729.40 707.12 # of transactions = 25; avg = 391.29
ALBERTA : 119.58 112.30 105.12 101.04 98.59 # of transactions = 21; avg = 66.99
ALBERTHA : 55.03 53.21 52.94 49.67 49.47 # of transactions = 47; avg = 27.84
ALBERTINA : 144.70 144.64 143.71 138.44 136.78 # of transactions = 77; avg = 80.71
ALBERTINE : 79.84 78.49 78.13 77.58 76.87 # of transactions = 53; avg = 41.65
ALBINA : 53.95 53.51 52.93 52.75 52.58 # of transactions = 100; avg = 26.87
ALDA : 968.36 962.94 944.64 938.86 925.55 # of transactions = 100; avg = 522.51
ALEASE : 120.53 119.24 118.83 118.03 113.54 # of transactions = 100; avg = 57.41
ALECIA : 145.99 143.45 142.53 136.30 135.83 # of transactions = 73; avg = 67.35
ALEEN : 1244.62 1233.45 1218.38 1191.40 1167.83 # of transactions = 75; avg = 538.30
ALEIDA : 54.55 53.96 53.70 41.05 30.56 # of transactions = 18; avg = 25.90
ALEISHA : 94.85 94.08 88.15 86.71 85.76 # of transactions = 42; avg = 52.30
ALEJANDRA : 91.42 90.80 89.71 89.52 89.08 # of transactions = 100; avg = 52.53
ALEJANDRINA : 64.88 62.61 58.99 55.36 53.85 # of transactions = 45; avg = 30.99
ALENA : 124.23 123.15 121.95 115.09 112.64 # of transactions = 24; avg = 61.64
ALENE : 91.47 90.24 90.16 87.77 85.63 # of transactions = 100; avg = 46.27
ALESHA : 137.82 137.76 133.57 124.38 122.96 # of transactions = 48; avg = 70.25
ALESHIA : 9132.60 9069.39 9066.13 9050.65 8944.25 # of transactions = 100; avg = 5152.15
ALESIA : 7258.62 6021.48 5924.25 5718.40 5069.57 # of transactions = 26; avg = 3278.66
ALESSANDRA : 10090.32 10036.22 9812.02 9780.21 9232.41 # of transactions = 67; avg = 4639.58
ALETA : 8164.76 8106.34 8047.08 8044.42 8035.46 # of transactions = 72; avg = 3711.76
ALETHA : 1039.13 1038.94 999.58 987.99 986.46 # of transactions = 50; avg = 577.41
ALETHEA : 1817.37 1808.65 1771.66 1766.49 1751.98 # of transactions = 34; avg = 969.47
ALETHIA : 56.36 54.63 54.44 49.93 49.47 # of transactions = 43; avg = 29.78
ALEX : 596.23 534.59 524.42 523.53 513.10 # of transactions = 45; avg = 281.09
ALEXA : 1101.60 1088.40 1072.67 1026.30 1017.08 # of transactions = 71; avg = 557.26
ALEXANDER : 921.37 920.05 914.68 876.58 844.00 # of transactions = 54; avg = 446.32
ALEXANDRA : 122.88 122.66 117.60 116.87 115.04 # of transactions = 72; avg = 61.28
ALEXANDRIA : 1489.78 1474.57 1465.36 1442.93 1338.89 # of transactions = 75; avg = 756.88
ALEXIA : 1284.29 1255.10 1254.72 1247.13 1242.78 # of transactions = 100; avg = 681.52
ALEXIS : 90.67 90.05 88.01 88.01 87.91 # of transactions = 75; avg = 45.71
ALFREDA : 951.42 947.49 922.58 920.52 909.99 # of transactions = 28; avg = 564.02
ALFREDIA : 1055.64 979.66 955.74 884.36 881.80 # of transactions = 23; avg = 606.04
ALI : 1325.71 1301.09 1287.47 1277.10 1275.45 # of transactions = 52; avg = 724.92
ALIA : 102.80 102.73 98.75 97.00 96.16 # of transactions = 41; avg = 55.18
ALICA : 506.44 505.80 490.45 441.59 416.54 # of transactions = 39; avg = 243.73
ALICE : 594.96 586.15 584.26 579.63 571.04 # of transactions = 100; avg = 288.49
ALICIA : 94.83 93.42 88.50 81.39 80.28 # of transactions = 22; avg = 56.37
ALIDA : 1161.99 1139.04 1137.16 1129.81 1127.44 # of transactions = 100; avg = 640.99
ALINA : 574.25 548.67 487.72 474.20 396.37 # of transactions = 15; avg = 315.24
ALINE : 517.09 495.59 473.13 447.29 441.32 # of transactions = 23; avg = 324.23
ALISA : 1129.35 1092.03 1084.06 1015.02 962.25 # of transactions = 23; avg = 614.25
ALISE : 907.78 897.49 885.64 883.93 881.07 # of transactions = 74; avg = 515.01
ALISHA : 1195.18 1186.41 1175.00 1174.97 1173.34 # of transactions = 100; avg = 614.70
ALISHIA : 918.45 891.31 878.92 834.00 802.75 # of transactions = 23; avg = 478.73
ALISIA : 148.24 144.51 141.03 139.61 134.58 # of transactions = 82; avg = 72.61
ALISON : 1272.80 1270.72 1266.00 1262.86 1258.69 # of transactions = 100; avg = 651.83
ALISSA : 63.58 63.43 62.99 61.74 61.72 # of transactions = 73; avg = 35.80
ALITA : 668.07 634.56 577.92 507.83 443.09 # of transactions = 24; avg = 305.94
ALIX : 96.76 88.12 84.81 78.85 77.99 # of transactions = 26; avg = 49.47
ALIZA : 545.93 545.21 543.56 542.65 541.91 # of transactions = 78; avg = 294.42
ALLA : 58.59 58.38 58.21 55.92 54.94 # of transactions = 81; avg = 29.58
ALLEEN : 1144.72 1137.40 1115.69 1113.35 1063.09 # of transactions = 24; avg = 650.81
ALLEGRA : 79.70 79.43 70.95 68.94 68.86 # of transactions = 32; avg = 45.46
ALLEN : 625.83 614.60 603.71 597.71 588.55 # of transactions = 53; avg = 337.60
ALLENA : 900.58 890.26 749.62 729.68 728.52 # of transactions = 29; avg = 382.31
ALLENE : 1055.34 1041.40 1026.93 1018.77 1016.12 # of transactions = 100; avg = 556.79
ALLIE : 1470.01 1465.35 1438.91 1430.82 1429.04 # of transactions = 100; avg = 691.45
ALLINE : 123.77 123.29 122.77 119.05 118.45 # of transactions = 75; avg = 71.15
ALLISON : 104.99 102.26 100.41 97.48 96.33 # of transactions = 74; avg = 55.43
ALLYN : 52.09 50.18 50.18 48.92 48.74 # of transactions = 25; avg = 30.49
ALLYSON : 795.00 781.55 779.67 776.42 776.04 # of transactions = 100; avg = 396.17
ALMA : 68.59 61.11 59.77 56.94 55.10 # of transactions = 26; avg = 33.27
ALMEDA : 765.70 755.55 739.08 734.67 726.96 # of transactions = 23; avg = 560.66
ALMETA : 8730.83 8681.47 8338.41 7857.02 7828.30 # of transactions = 47; avg = 4627.30
ALONA : 715.98 704.45 694.48 667.92 667.29 # of transactions = 100; avg = 357.26
ALPHA : 986.50 979.26 929.02 874.63 836.34 # of transactions = 31; avg = 492.10
ALTA : 865.44 703.63 698.58 564.09 534.94 # of transactions = 19; avg = 414.64
ALTAGRACIA : 936.93 918.88 913.26 908.31 906.20 # of transactions = 42; avg = 515.06
ALTHA : 881.46 871.92 865.41 863.57 841.50 # of transactions = 100; avg = 448.91
ALTHEA : 1114.17 1092.38 1085.21 1048.61 1006.45 # of transactions = 26; avg = 548.24
ALVA : 1052.22 1016.93 976.25 972.00 965.77 # of transactions = 21; avg = 635.75
ALVERA : 65.74 60.93 58.02 45.36 23.62 # of transactions = 15; avg = 25.44
ALVERTA : 813.75 809.64 805.11 796.85 792.70 # of transactions = 81; avg = 446.64
ALVINA : 80.51 78.31 77.75 74.95 72.02 # of transactions = 48; avg = 40.50
ALYCE : 516.80 513.23 504.05 488.48 487.83 # of transactions = 56; avg = 232.74
ALYCIA : 695.79 684.39 675.00 648.80 623.78 # of transactions = 53; avg = 335.38
ALYSA : 105.60 104.49 104.30 100.94 98.38 # of transactions = 71; avg = 55.38
ALYSE : 848.57 787.07 767.91 757.23 752.87 # of transactions = 21; avg = 467.88
ALYSHA : 85.93 84.79 79.46 77.86 76.49 # of transactions = 52; avg = 41.89
ALYSIA : 119.46 118.53 115.96 112.69 111.84 # of transactions = 100; avg = 54.88
ALYSON : 962.09 954.16 939.04 919.89 914.32 # of transactions = 73; avg = 497.76
ALYSSA : 104.85 104.58 103.18 98.43 78.18 # of transactions = 21; avg = 53.34
AMADA : 1117.58 1111.65 1101.65 1072.12 1064.70 # of transactions = 100; avg = 551.06
AMAL : 7627.44 7580.82 7551.38 7351.69 7267.13 # of transactions = 53; avg = 3961.58
AMALIA : 1278.55 1237.43 1213.31 1201.84 1147.73 # of transactions = 100; avg = 629.76
AMANDA : 105.97 105.39 104.49 103.05 102.71 # of transactions = 69; avg = 59.38
AMBER : 128.00 125.89 125.22 125.19 124.64 # of transactions = 75; avg = 69.17
AMBERLY : 106.62 105.52 105.05 103.77 103.73 # of transactions = 100; avg = 54.23
AMEE : 114.20 108.77 104.37 100.11 99.01 # of transactions = 27; avg = 61.41
AMELIA : 1272.27 1272.13 1252.43 1221.33 1210.64 # of transactions = 75; avg = 699.68
AMERICA : 148.66 147.99 147.86 147.85 147.77 # of transactions = 100; avg = 79.09
AMI : 50.10 49.33 48.22 47.69 47.23 # of transactions = 100; avg = 25.40
AMIE : 1223.83 1214.45 1182.67 1178.00 1173.34 # of transactions = 69; avg = 676.94
AMIEE : 703.22 680.62 678.81 657.65 650.40 # of transactions = 68; avg = 394.84
AMINA : 91.42 90.49 89.45 88.00 86.91 # of transactions = 52; avg = 45.90
AMIRA : 507.15 504.20 485.84 483.21 430.49 # of transactions = 20; avg = 279.03
AMMIE : 664.06 650.77 641.51 638.13 622.24 # of transactions = 78; avg = 347.76
AMPARO : 730.92 708.37 685.51 683.67 680.03 # of transactions = 45; avg = 325.58
AMY : 1349.81 1327.48 1309.14 1300.79 1281.44 # of transactions = 100; avg = 694.08
AN : 1315.61 1288.77 1253.83 1229.76 1167.21 # of transactions = 27; avg = 569.72
ANA : 666.23 650.33 638.25 630.13 623.98 # of transactions = 68; avg = 354.03
ANABEL : 116.94 113.79 111.74 101.94 99.16 # of transactions = 57; avg = 50.63
ANALISA : 810.95 808.92 799.79 787.05 773.06 # of transactions = 81; avg = 459.25
ANAMARIA : 1023.55 1016.49 1014.31 1010.43 991.34 # of transactions = 52; avg = 547.61
ANASTACIA : 88.73 87.69 82.32 82.04 81.98 # of transactions = 51; avg = 48.41
ANASTASIA : 1358.42 1313.39 1303.43 1296.92 1281.89 # of transactions = 48; avg = 718.22
ANDERA : 101.02 99.89 99.67 99.60 99.54 # of transactions = 100; avg = 52.24
ANDRA : 1446.09 1437.81 1377.99 1340.19 1280.50 # of transactions = 26; avg = 760.68
ANDRE : 81.10 80.35 79.02 78.41 77.90 # of transactions = 82; avg = 44.02
ANDREA : 122.19 120.38 119.77 119.76 119.43 # of transactions = 79; avg = 65.18
ANDREE : 1392.14 1376.54 1361.16 1332.07 1326.52 # of transactions = 100; avg = 661.53
ANDREW : 126.80 124.96 124.93 123.82 123.62 # of transactions = 100; avg = 65.74
ANDRIA : 85.71 83.58 80.69 79.26 78.95 # of transactions = 49; avg = 43.60
ANETTE : 907.12 893.73 879.28 861.59 829.03 # of transactions = 76; avg = 442.34
ANGEL : 883.74 879.10 874.35 743.53 722.24 # of transactions = 20; avg = 578.79
ANGELA : 110.35 109.26 107.20 106.78 106.33 # of transactions = 25; avg = 71.70
ANGELE : 139.27 138.46 137.31 135.84 134.76 # of transactions = 100; avg = 71.64
ANGELENA : 118.44 105.44 103.55 102.57 98.04 # of transactions = 23; avg = 67.88
ANGELES : 112.30 112.11 110.33 110.29 110.03 # of transactions = 100; avg = 57.08
ANGELIA : 1126.47 1109.97 1099.59 1087.73 1083.14 # of transactions = 51; avg = 575.21
ANGELIC : 967.02 919.98 916.69 915.04 907.29 # of transactions = 100; avg = 506.74
ANGELICA : 1158.84 1142.29 1134.49 1133.71 1133.43 # of transactions = 100; avg = 550.47
ANGELIKA : 118.93 117.04 116.90 114.50 113.66 # of transactions = 25; avg = 71.64
ANGELINA : 1299.98 1294.27 1291.21 1291.05 1277.31 # of transactions = 80; avg = 617.22
ANGELINE : 110.52 109.55 108.47 108.39 107.82 # of transactions = 100; avg = 59.23
ANGELIQUE : 730.99 717.04 716.23 684.91 673.76 # of transactions = 100; avg = 360.18
ANGELITA : 61.86 60.77 59.01 58.24 55.27 # of transactions = 78; avg = 28.78
ANGELLA : 61.91 61.74 60.57 60.03 59.15 # of transactions = 70; avg = 34.04
ANGELO : 9058.16 9040.65 8918.64 8856.98 8774.40 # of transactions = 100; avg = 4630.98
ANGELYN : 79.79 79.54 79.33 78.54 78.18 # of transactions = 75; avg = 42.36
ANGIE : 119.92 119.90 119.86 119.35 119.33 # of transactions = 71; avg = 64.28
ANGILA : 1459.21 1385.99 1378.06 1374.82 1356.03 # of transactions = 74; avg = 785.90
ANGLA : 59.13 58.09 57.75 56.67 56.21 # of transactions = 53; avg = 28.23
ANGLE : 125.45 123.68 123.54 123.45 122.26 # of transactions = 100; avg = 66.31
ANGLEA : 1043.62 1021.97 1007.59 985.74 974.19 # of transactions = 100; avg = 517.39
ANH : 131.38 131.03 130.08 126.83 120.90 # of transactions = 72; avg = 67.01
ANIKA : 6733.51 6683.40 6646.46 6608.94 6413.50 # of transactions = 48; avg = 3432.53
ANISA : 1093.74 1071.63 1013.23 910.12 884.65 # of transactions = 51; avg = 481.56
ANISHA : 1376.64 1338.45 1306.20 1173.26 1156.21 # of transactions = 29; avg = 679.76
ANISSA : 49.96 49.65 48.90 47.60 47.43 # of transactions = 100; avg = 23.78
ANITA : 1039.05 1033.89 1024.69 1020.30 1013.05 # of transactions = 100; avg = 532.69
ANITRA : 3427.01 3352.14 3335.47 3333.45 3304.22 # of transactions = 100; avg = 1741.59
ANJA : 55.71 54.37 54.27 53.91 53.32 # of transactions = 100; avg = 27.28
ANJANETTE : 105.79 105.52 101.54 100.52 98.80 # of transactions = 73; avg = 59.29
ANJELICA : 901.18 878.08 872.89 864.81 859.99 # of transactions = 70; avg = 482.80
ANN : 838.63 812.86 810.61 801.52 795.73 # of transactions = 73; avg = 372.90
ANNA : 668.06 661.31 660.30 654.41 644.46 # of transactions = 100; avg = 350.97
ANNABEL : 3265.65 3255.11 3232.74 3230.17 3194.71 # of transactions = 100; avg = 1847.18
ANNABELL : 120.51 117.33 108.36 106.28 99.36 # of transactions = 51; avg = 62.48
ANNABELLE : 146.72 146.66 142.70 139.63 137.71 # of transactions = 74; avg = 74.04
ANNALEE : 9103.35 8991.13 8971.71 8847.79 8839.93 # of transactions = 78; avg = 4651.35
ANNALISA : 966.26 949.54 938.57 931.25 922.76 # of transactions = 49; avg = 515.00
ANNAMAE : 1030.84 1013.98 888.74 885.53 839.80 # of transactions = 23; avg = 572.36
ANNAMARIA : 60.14 59.60 59.39 59.30 58.30 # of transactions = 68; avg = 31.04
ANNAMARIE : 82.65 75.50 70.02 61.39 61.08 # of transactions = 19; avg = 44.52
ANNE : 60.97 60.39 59.19 58.93 58.23 # of transactions = 76; avg = 33.17
ANNELIESE : 133.09 131.16 122.75 120.82 118.26 # of transactions = 26; avg = 85.10
ANNELLE : 119.61 111.61 102.73 94.22 93.66 # of transactions = 21; avg = 57.48
ANNEMARIE : 1111.04 1101.29 1075.96 1029.87 1006.57 # of transactions = 27; avg = 676.85
ANNETT : 1257.68 1221.56 1179.15 1177.76 1169.10 # of transactions = 26; avg = 605.87
ANNETTA : 591.49 588.91 588.58 577.04 570.73 # of transactions = 100; avg = 289.03
ANNETTE : 524.36 508.10 493.95 490.74 482.73 # of transactions = 80; avg = 241.58
ANNICE : 892.46 886.90 854.19 801.98 796.13 # of transactions = 75; avg = 419.74
ANNIE : 112.42 112.14 111.60 111.04 110.11 # of transactions = 100; avg = 56.44
ANNIKA : 1274.92 1251.47 1223.86 1217.56 1198.37 # of transactions = 100; avg = 654.93
ANNIS : 4825.20 4595.00 4520.78 4334.90 4260.56 # of transactions = 18; avg = 2388.66
ANNITA : 1310.25 1302.89 1281.07 1243.19 1223.11 # of transactions = 100; avg = 644.27
ANNMARIE : 2178.94 2168.74 2149.94 2051.88 2047.35 # of transactions = 74; avg = 1093.10
ANTHONY : 1178.47 1173.19 1166.11 1155.81 1152.07 # of transactions = 73; avg = 591.61
ANTIONETTE : 932.57 922.05 919.33 891.73 890.55 # of transactions = 54; avg = 503.44
ANTOINETTE : 1242.21 1199.35 1124.20 1075.30 1071.53 # of transactions = 24; avg = 654.38
ANTONETTA : 125.63 120.11 116.05 101.39 100.97 # of transactions = 17; avg = 58.35
ANTONETTE : 1198.14 1189.02 1144.50 1126.11 1113.59 # of transactions = 72; avg = 580.39
ANTONIA : 1203.55 1188.93 1180.16 1175.97 1172.30 # of transactions = 53; avg = 602.69
ANTONIETTA : 91.91 89.05 88.83 87.66 86.79 # of transactions = 27; avg = 49.44
ANTONINA : 77.29 76.29 74.94 74.36 73.94 # of transactions = 75; avg = 34.28
ANTONIO : 5763.44 5669.69 5657.30 5576.33 5546.43 # of transactions = 84; avg = 2937.81
ANYA : 1194.71 1184.97 1173.37 1161.68 1159.27 # of transactions = 100; avg = 588.69
APOLONIA : 49.65 49.22 47.49 46.91 45.87 # of transactions = 22; avg = 27.24
APRIL : 1239.31 1238.73 1232.54 1194.39 1174.69 # of transactions = 77; avg = 556.10
APRYL : 915.18 895.59 893.53 862.95 772.21 # of transactions = 23; avg = 466.55
ARA : 2245.62 2239.16 2050.90 1884.18 1633.47 # of transactions = 24; avg = 946.85
ARACELI : 7349.97 7235.58 7212.46 6501.62 6461.32 # of transactions = 100; avg = 3486.58
ARACELIS : 761.59 717.29 716.69 693.41 683.05 # of transactions = 51; avg = 419.61
ARACELY : 793.75 767.86 753.77 719.35 701.51 # of transactions = 74; avg = 372.30
ARCELIA : 499.22 498.01 492.29 483.30 482.49 # of transactions = 100; avg = 266.39
ARDATH : 872.09 857.33 833.63 833.45 831.24 # of transactions = 100; avg = 430.68
ARDELIA : 1010.04 1007.64 992.19 979.63 976.80 # of transactions = 74; avg = 499.91
ARDELL : 127.94 126.11 125.02 122.70 121.61 # of transactions = 58; avg = 66.94
ARDELLA : 9670.99 9638.12 9299.96 9284.08 9272.10 # of transactions = 68; avg = 4268.04
ARDELLE : 99.81 92.93 89.82 89.73 87.29 # of transactions = 30; avg = 54.60
ARDIS : 135.01 134.76 130.92 126.19 122.41 # of transactions = 47; avg = 74.38
ARDITH : 99.52 95.87 93.47 93.46 92.95 # of transactions = 75; avg = 48.39
ARETHA : 1354.52 1341.48 1323.78 1320.17 1305.87 # of transactions = 100; avg = 711.56
ARGELIA : 1185.77 1175.62 1159.78 1154.27 1146.14 # of transactions = 100; avg = 627.28
ARGENTINA : 75.13 74.87 74.00 73.69 73.45 # of transactions = 100; avg = 37.49
ARIANA : 854.90 850.24 846.08 845.36 836.87 # of transactions = 78; avg = 446.18
ARIANE : 982.39 981.45 896.54 866.42 838.36 # of transactions = 28; avg = 400.31
ARIANNA : 1427.55 1225.33 1188.44 1136.69 1077.55 # of transactions = 23; avg = 778.47
ARIANNE : 823.75 815.09 796.79 792.07 785.06 # of transactions = 100; avg = 363.10
ARICA : 706.17 680.73 677.44 648.00 551.27 # of transactions = 25; avg = 378.51
ARIE : 125.84 124.77 120.42 116.98 116.15 # of transactions = 29; avg = 67.07
ARIEL : 9000.84 8736.57 8612.36 8467.95 8453.08 # of transactions = 100; avg = 4600.78
ARIELLE : 135.20 123.46 122.25 119.92 113.01 # of transactions = 26; avg = 68.05
ARLA : 128.88 124.63 123.24 121.46 115.43 # of transactions = 26; avg = 65.42
ARLEAN : 4067.69 3951.35 3890.24 3806.16 3614.64 # of transactions = 74; avg = 1949.97
ARLEEN : 744.31 682.23 679.48 663.55 662.72 # of transactions = 21; avg = 406.27
ARLENA : 5676.26 5566.25 5467.41 5443.32 5344.04 # of transactions = 56; avg = 3218.82
ARLENE : 77.99 77.87 77.41 75.94 73.75 # of transactions = 58; avg = 42.97
ARLETHA : 113.75 104.95 100.72 100.35 93.92 # of transactions = 28; avg = 55.93
ARLETTA : 1194.14 1181.76 1177.75 1169.07 1167.06 # of transactions = 100; avg = 623.97
ARLETTE : 48.66 48.26 47.83 47.64 46.98 # of transactions = 51; avg = 24.25
ARLINDA : 1130.40 1129.22 1086.63 1049.93 1046.21 # of transactions = 49; avg = 622.56
ARLINE : 122.89 122.69 122.02 121.45 121.38 # of transactions = 100; avg = 67.56
ARLYNE : 140.88 138.91 138.91 130.33 120.67 # of transactions = 26; avg = 76.03
ARMANDA : 105.85 102.14 99.69 96.02 76.25 # of transactions = 21; avg = 48.73
ARMANDINA : 103.84 101.73 101.51 95.11 88.46 # of transactions = 26; avg = 54.28
ARMIDA : 838.42 827.60 826.37 820.97 814.80 # of transactions = 100; avg = 386.33
ARMINDA : 1436.34 1201.42 1171.84 1075.76 1025.47 # of transactions = 25; avg = 613.97
ARNETTA : 128.97 128.29 127.59 124.71 119.75 # of transactions = 73; avg = 65.41
ARNETTE : 52.80 50.96 49.39 49.13 48.97 # of transactions = 72; avg = 27.01
ARNITA : 1139.91 1115.94 1074.60 1057.68 1016.01 # of transactions = 53; avg = 575.55
ARTHUR : 147.14 143.60 141.96 140.67 137.92 # of transactions = 73; avg = 76.73
ARTIE : 123.08 99.50 83.38 82.16 81.29 # of transactions = 16; avg = 55.79
ARVILLA : 676.28 673.98 672.25 664.91 663.15 # of transactions = 84; avg = 342.60
